start_station_id,start_station_lat,start_station_lon,Bus_station_number,Subway_station_number
362,40.75172632,-73.98753523,6,4
363,40.70834698,-74.01713445,9,7
364,40.68900443,-73.96023854,1,3
365,40.68223166,-73.9614583,2,1
366,40.693261,-73.968896,0,0
367,40.75828065,-73.97069431,1,1
368,40.73038599,-74.00214988,0,3
369,40.73224119,-74.00026394,1,4
372,40.694528,-73.958089,0,3
373,40.69331716,-73.95381995,4,0
375,40.72679454,-73.99695094,0,1
376,40.70862144,-74.00722156,12,5
377,40.72243797,-74.00566443,0,7
379,40.749156,-73.9916,5,3
380,40.73401143,-74.00293877,2,4
382,40.73492695,-73.99200509,2,3
383,40.735238,-74.000271,2,0
384,40.68317813,-73.9659641,2,3
385,40.75797322,-73.96603308,0,1
386,40.71494807,-74.00234482,4,2
387,40.71273266,-74.0046073,4,5
388,40.74971775,-74.00295035,1,5
389,40.71044554,-73.96525063,0,2
390,40.69221589,-73.9842844,1,1
391,40.69760127,-73.99344559,0,3
392,40.695065,-73.987167,1,5
393,40.72299208,-73.97995466,0,5
394,40.72521311,-73.97768752,0,0
395,40.68807003,-73.98410637,2,0
396,40.68034242,-73.95576894,2,4
397,40.68415748,-73.96922273,3,0
398,40.69165183,-73.9999786,0,2
399,40.68851534,-73.9647628,2,1
400,40.71926081,-73.98178024,0,2
401,40.72019576,-73.98997825,0,0
402,40.7403432,-73.98955109,1,6
403,40.72502876,-73.99069656,0,1
404,40.7405826,-74.00550867,1,4
405,40.739323,-74.008119,1,2
406,40.69512845,-73.99595065,0,2
407,40.700469,-73.991454,0,4
408,40.71076228,-73.99400398,1,4
409,40.6906495,-73.95643107,3,1
410,40.72066442,-73.98517977,0,0
411,40.72228087,-73.97668709,0,1
412,40.7158155,-73.99422366,2,0
414,40.70281858,-73.98765762,1,3
415,40.7047177,-74.00926027,10,4
416,40.68753406,-73.97265183,1,5
417,40.71291224,-74.01020234,12,2
418,40.70224,-73.982578,0,4
419,40.69580705,-73.97355569,0,2
420,40.68764484,-73.96968902,3,0
421,40.69573398,-73.97129668,0,2
422,40.770513,-73.988038,1,0
423,40.76584941,-73.98690506,0,2
426,40.71754834,-74.01322069,5,3
427,40.70251526,-74.01427023,6,2
428,40.72467721,-73.98783413,0,3
430,40.7014851,-73.98656928,1,2
431,40.68864636,-73.98263429,3,4
432,40.72621788,-73.98379855,0,4
433,40.72955361,-73.98057249,1,2
434,40.74317449,-74.00366443,0,1
435,40.74173969,-73.99415556,4,2
436,40.68216564,-73.95399026,3,2
437,40.68098339,-73.95004798,2,0
438,40.72779126,-73.98564945,1,0
439,40.7262807,-73.98978041,0,2
440,40.75255434,-73.97282625,2,4
441,40.756014,-73.967416,0,2
442,40.746647,-73.993915,4,1
443,40.70853074,-73.96408963,0,4
444,40.7423543,-73.98915076,4,1
445,40.72740794,-73.98142006,0,2
446,40.74487634,-73.99529885,4,1
447,40.76370739,-73.9851615,0,4
448,40.75660359,-73.9979009,4,4
449,40.76461837,-73.98789473,1,1
450,40.76227205,-73.98788205,1,4
453,40.74475148,-73.99915362,3,4
454,40.75455731,-73.96592976,0,2
455,40.75001986,-73.96905301,0,1
456,40.7597108,-73.97402311,1,1
457,40.76695317,-73.98169333,0,7
458,40.751396,-74.005226,2,3
459,40.746745,-74.007756,0,2
460,40.71285887,-73.96590294,0,0
461,40.73587678,-73.98205027,1,1
462,40.74691959,-74.00451887,0,1
463,40.74206539,-74.00443172,1,1
464,40.75934501,-73.96759673,0,2
465,40.75513557,-73.98658032,4,5
